1081.762 N N48 7
1082.648 N N48 7
1083.535 N N48 7
1084.438 N N48 7
1085.324 N N48 7
1086.207 N N48 7
1087.012 N N36 8
1087.863 N N48 7
1088.723 N N48 7
1089.586 N N48 7
1090.449 N N48 7
1091.281 N N48 7
1092.137 N N48 7
1092.992 N N48 7
1093.836 N N36 8
1094.684 N N48 7
1095.523 N N48 7
1096.359 N N48 7
1097.168 N N36 8
1097.977 N N48 7
1098.785 N N48 7
1099.578 N N36 8
1100.395 N N48 7
1101.227 N N48 7
1102.07 N N48 7
1102.906 N N48 7
1103.754 N N48 7
1104.613 N N48 7
1105.469 N N48 7
1106.27 N N36 8
1107.098 N N48 7
1107.926 N N48 7
1108.707 N N36 8
1109.484 N N36 8
1110.254 N N36 8
1111.004 N N36 8
1111.754 N N36 8
1112.473 N N36 8
1113.195 N N36 8
1113.906 N N33 9
1114.605 N N36 8
1115.277 N N36 8
1115.949 N N33 9
1116.625 N N33 9
1117.285 N N33 9
1117.926 N N33 9
1118.578 N N33 9
1119.215 N N33 9
1119.84 N N33 9
1120.477 N N33 9
1121.105 N N45 10
1121.727 N N33 9
1122.34 N N36 8
1122.961 N N33 9
1123.582 N N36 8
1124.207 N N36 8
1124.867 N N36 8
1125.563 N N36 8
1126.309 N N36 8
1127.137 N N48 7
1127.973 N N33 9
1128.77 N N36 8
1129.594 N N36 8
1130.414 N N48 7
1131.203 N N33 9
1132 N N45 10
1132.789 N N45 10
1133.574 N N33 9
1134.32 N N36 8
1135.086 N N36 8
1135.848 N N33 9
1136.613 N N36 8
1137.402 N N36 8
1138.203 N N36 8
1139.023 N N36 8
1139.852 N N48 7
1140.688 N N48 7
1141.531 N N36 8
